time, lin_acc_x, lin_acc_y, lin_acc_z, ang_vel_x, ang_vel_y, ang_vel_z
5.7000003,5.6058426,8.050506,-5.8687724e-06,-7.847351e-05,-0.00011269491,5.6398527e-05
5.716667,5.605843,8.050506,-6.591808e-06,-7.6925055e-05,-0.000110460955,5.634333e-05
5.7333336,5.605843,8.050505,-6.097973e-06,-7.851012e-05,-0.00011274963,5.6539055e-05
5.7500005,5.605842,8.050506,-5.877517e-06,-7.689318e-05,-0.0001104384,5.627733e-05
5.766667,5.6058426,8.050506,-6.4935157e-06,-7.8523604e-05,-0.00011277198,5.6409655e-05
5.783334,5.605843,8.050505,-6.0068683e-06,-7.6912285e-05,-0.000110438785,5.6548164e-05
5.8,5.605842,8.050506,-5.859311e-06,-7.8500976e-05,-0.000112733585,5.6303084e-05
5.816667,5.6058426,8.050506,-6.525267e-06,-7.691027e-05,-0.0001104427,5.644063e-05
5.8333335,5.605843,8.050505,-6.0803964e-06,-7.850541e-05,-0.00011274036,5.6564804e-05
5.8500004,5.605842,8.050506,-5.9267713e-06,-7.689397e-05,-0.00011044795,5.6275072e-05
5.866667,5.6058426,8.050506,-6.542172e-06,-7.852027e-05,-0.00011277462,5.633671e-05
5.8833337,5.605843,8.050505,-6.002214e-06,-7.690506e-05,-0.00011041615,5.6511893e-05
5.9,5.6058426,8.050506,-5.8399937e-06,-7.847798e-05,-0.00011269497,5.639819e-05
5.916667,5.6058426,8.050506,-6.558728e-06,-7.691121e-05,-0.00011046835,5.6389883e-05
5.933334,5.6058426,8.050505,-6.0784278e-06,-7.8503006e-05,-0.00011273949,5.654401e-05
5.9500003,5.605842,8.050506,-5.8745823e-06,-7.690352e-05,-0.00011044198,5.6234156e-05
5.966667,5.6058426,8.050506,-6.493961e-06,-7.852338e-05,-0.00011277224,5.6418354e-05
5.9833336,5.605843,8.050505,-6.016242e-06,-7.689268e-05,-0.00011042251,5.6555622e-05
6.0000005,5.6059046,8.050463,-6.341583e-06,-7.902402e-05,-0.00011347186,5.3116168e-05
6.016667,5.606295,8.050191,-5.973681e-06,-7.8297286e-05,-0.00011241684,-8.935119e-06
6.033334,5.6074114,8.049413,-5.9679487e-06,-7.27333e-05,-0.00010442368,-0.00020592642
6.05,5.609618,8.047875,-5.3590625e-06,-7.1939634e-05,-0.00010321914,-0.0004376378
6.066667,5.613192,8.045383,-4.915235e-06,-7.1106915e-05,-0.00010191954,-0.00084458647
6.0833335,5.6184397,8.041719,-6.045712e-06,-6.211801e-05,-8.8893394e-05,-0.0013624341
6.1000004,5.6251388,8.037036,-6.2141958e-06,-5.3776894e-05,-7.686593e-05,-0.0018796284
6.116667,5.6348677,8.030218,-5.805024e-06,-4.9884835e-05,-7.10554e-05,-0.0025592342
